id,name,height,weight,base_experience,base_happiness,egg_group,habitat,gender,growth_rate,is_legendary,is_mythical,shape,stats,types,abilities,flavour_text,evolution_chain,genre,sprites_id,generation
11,metapod,7,99,72,50,"[""bug""]",forest,,medium,false,false,squiggle,"[{""name"":""hp"",""baseStat"":50},{""name"":""attack"",""baseStat"":20},{""name"":""defense"",""baseStat"":55},{""name"":""special-attack"",""baseStat"":25},{""name"":""special-defense"",""baseStat"":25},{""name"":""speed"",""baseStat"":30}]","[{""name"":""bug""}]","[{""name"":""shed-skin"",""isHidden"":false}]","[""This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."",""Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."",""Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell."",""It prepares for evolution by har­ dening its shell as much as possi­ ble to protect its soft body."",""This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack."",""The shell covering this POKéMON’s body is as hard as an iron slab. METAPOD does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell."",""Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."",""A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution."",""Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out."",""Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided."",""Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution."",""Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides.""]",4,Cocoon Pokémon,11,Generation I
12,butterfree,11,320,198,50,"[""bug""]",forest,,medium,false,false,bug-wings,"[{""name"":""hp"",""baseStat"":60},{""name"":""attack"",""baseStat"":45},{""name"":""defense"",""baseStat"":50},{""name"":""special-attack"",""baseStat"":90},{""name"":""special-defense"",""baseStat"":80},{""name"":""speed"",""baseStat"":70}]","[{""name"":""bug""},{""name"":""flying""}]","[{""name"":""compound-eyes"",""isHidden"":false},{""name"":""tinted-lens"",""isHidden"":true}]","[""In battle, it flaps its wings at high speed to release highly toxic dust into the air."",""Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain."",""It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest."",""Water-repellent powder on its wings enables it to collect honey, even in the heav­ iest of rains."",""It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."",""BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."",""The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain."",""It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen."",""Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes."",""When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."",""Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."",""Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.""]",4,Butterfly Pokémon,12,Generation I
13,weedle,3,32,39,70,"[""bug""]",forest,,medium,false,false,armor,"[{""name"":""hp"",""baseStat"":40},{""name"":""attack"",""baseStat"":35},{""name"":""defense"",""baseStat"":30},{""name"":""special-attack"",""baseStat"":20},{""name"":""special-defense"",""baseStat"":20},{""name"":""speed"",""baseStat"":50}]","[{""name"":""bug""},{""name"":""poison""}]","[{""name"":""shield-dust"",""isHidden"":false},{""name"":""run-away"",""isHidden"":true}]","[""Often found in forests, eating leaves. It has a sharp venomous stinger on its head."",""Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves."",""Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies."",""It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats."",""The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself."",""WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose)."",""Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."",""It eats its weight in leaves every day. It fends off attackers with the needle on its head.""]",5,Hairy Bug Pokémon,13,Generation I
14,kakuna,6,100,72,70,"[""bug""]",forest,,medium,false,false,squiggle,"[{""name"":""hp"",""baseStat"":45},{""name"":""attack"",""baseStat"":25},{""name"":""defense"",""baseStat"":50},{""name"":""special-attack"",""baseStat"":25},{""name"":""special-defense"",""baseStat"":25},{""name"":""speed"",""baseStat"":35}]","[{""name"":""bug""},{""name"":""poison""}]","[{""name"":""shed-skin"",""isHidden"":false}]","[""Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."",""Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."",""Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked."",""From this form, it will grow into an adult. As its body becomes soft­ er, the external shell hardens."",""Nearly incapable of movement, it leans against stout trees while waiting for its evolution."",""KAKUNA remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."",""This POKéMON is in a temporary stage while making its body. It is almost completely unable to move on its own."",""While awaiting evolution, it hides from predators under leaves and in nooks of branches.""]",5,Cocoon Pokémon,14,Generation I
15,beedrill,10,295,178,70,"[""bug""]",forest,,medium,false,false,bug-wings,"[{""name"":""hp"",""baseStat"":65},{""name"":""attack"",""baseStat"":90},{""name"":""defense"",""baseStat"":40},{""name"":""special-attack"",""baseStat"":45},{""name"":""special-defense"",""baseStat"":80},{""name"":""speed"",""baseStat"":75}]","[{""name"":""bug""},{""name"":""poison""}]","[{""name"":""swarm"",""isHidden"":false},{""name"":""sniper"",""isHidden"":true}]","[""It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly."",""Flies at high speed and attacks using its large venomous stingers on its forelegs and tail."",""It can take down any opponent with its powerful poi­ son stingers. It sometimes attacks in swarms."",""It has three poison barbs. The barb on its tail secretes the most powerful poison."",""It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food."",""BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm."",""A BEEDRILL is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm."",""May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."",""Its best attack involves flying around at high speed, striking with poison needles, then flying off.""]",5,Poison Bee Pokémon,15,Generation I
16,pidgey,3,18,50,70,"[""flying""]",forest,,medium-slow,false,false,wings,"[{""name"":""hp"",""baseStat"":40},{""name"":""attack"",""baseStat"":45},{""name"":""defense"",""baseStat"":40},{""name"":""special-attack"",""baseStat"":35},{""name"":""special-defense"",""baseStat"":35},{""name"":""speed"",""baseStat"":56}]","[{""name"":""normal""},{""name"":""flying""}]","[{""name"":""keen-eye"",""isHidden"":false},{""name"":""tangled-feet"",""isHidden"":false},{""name"":""big-pecks"",""isHidden"":true}]","[""A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."",""Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."",""It usually hides in tall grass. Be­ cause it dislikes fighting, it pro­ tects itself by kicking up sand."",""Common in grassy areas and forests, it is very docile and will chase off enemies by flap­ ping up sand."",""It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open."",""PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."",""Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs."",""It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.""]",6,Tiny Bird Pokémon,16,Generation I
17,pidgeotto,11,300,122,70,"[""flying""]",forest,,medium-slow,false,false,wings,"[{""name"":""hp"",""baseStat"":63},{""name"":""attack"",""baseStat"":60},{""name"":""defense"",""baseStat"":55},{""name"":""special-attack"",""baseStat"":50},{""name"":""special-defense"",""baseStat"":50},{""name"":""speed"",""baseStat"":71}]","[{""name"":""normal""},{""name"":""flying""}]","[{""name"":""keen-eye"",""isHidden"":false},{""name"":""tangled-feet"",""isHidden"":false},{""name"":""big-pecks"",""isHidden"":true}]","[""Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."",""This POKéMON is full of vitality. It constantly flies around its large territory in search of prey."",""It has outstanding vision. However high it flies, it is able to distin­ guish the move­ ments of its prey."",""It immobilizes its prey using well- developed claws, then carries the prey more than 60 miles to its nest."",""It slowly flies in a circular pat­ tern, all the while keeping a sharp lookout for prey."",""PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."",""This POKéMON flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."",""The claws on its feet are well developed. It can carry prey such as an EXEGGCUTE to its nest over 60 miles away."",""It flies over its wide territory in search of prey, downing it with its highly developed claws.""]",6,Bird Pokémon,17,Generation I
18,pidgeot,15,395,216,70,"[""flying""]",forest,,medium-slow,false,false,wings,"[{""name"":""hp"",""baseStat"":83},{""name"":""attack"",""baseStat"":80},{""name"":""defense"",""baseStat"":75},{""name"":""special-attack"",""baseStat"":70},{""name"":""special-defense"",""baseStat"":70},{""name"":""speed"",""baseStat"":101}]","[{""name"":""normal""},{""name"":""flying""}]","[{""name"":""keen-eye"",""isHidden"":false},{""name"":""tangled-feet"",""isHidden"":false},{""name"":""big-pecks"",""isHidden"":true}]","[""When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."",""This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."",""Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps."",""It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed."",""Its outstanding vision allows it to spot splashing MAGIKARP, even while flying at 3300 feet."",""This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON."",""This POKéMON has gorgeous, glossy feathers. Many TRAINERS are so captivated by the beautiful feathers on its head that they choose PIDGEOT as their POKéMON."",""It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed."",""By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees.""]",6,Bird Pokémon,18,Generation I
19,rattata,3,35,51,70,"[""ground""]",grassland,,medium,false,false,quadruped,"[{""name"":""hp"",""baseStat"":30},{""name"":""attack"",""baseStat"":56},{""name"":""defense"",""baseStat"":35},{""name"":""special-attack"",""baseStat"":25},{""name"":""special-defense"",""baseStat"":35},{""name"":""speed"",""baseStat"":72}]","[{""name"":""normal""}]","[{""name"":""run-away"",""isHidden"":false},{""name"":""guts"",""isHidden"":false},{""name"":""hustle"",""isHidden"":true}]","[""Bites anything when it attacks. Small and very quick, it is a common sight in many places."",""Will chew on any­ thing with its fangs. If you see one, it is certain that 40 more live in the area."",""It eats anything. Wherever food is available, it will settle down and produce offspring continuously."",""Living wherever there is food available, it ceaselessly scav­ enges for edibles the entire day."",""This POKéMON's impressive vital­ ity allows it to live anywhere. It also multiplies very quickly."",""RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere."",""A RATTATA is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere."",""Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."",""Cautious in the extreme, its hardy vitality lets it live in any kind of environment."",""It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."",""Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."",""With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly."",""Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."",""This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.""]",7,Mouse Pokémon,19,Generation I
20,raticate,7,185,145,70,"[""ground""]",grassland,,medium,false,false,quadruped,"[{""name"":""hp"",""baseStat"":55},{""name"":""attack"",""baseStat"":81},{""name"":""defense"",""baseStat"":60},{""name"":""special-attack"",""baseStat"":50},{""name"":""special-defense"",""baseStat"":70},{""name"":""speed"",""baseStat"":97}]","[{""name"":""normal""}]","[{""name"":""run-away"",""isHidden"":false},{""name"":""guts"",""isHidden"":false},{""name"":""hustle"",""isHidden"":true}]","[""It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off."",""Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."",""Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnaw­ ing on them."",""Its whiskers help it to maintain balance. Its fangs never stop grow­ ing, so it gnaws to pare them down."",""The webs on its hind legs enable it to cross rivers. It search­ es wide areas for food."",""RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."",""Its rear feet have three toes each. They are webbed, enabling it to swim across rivers."",""It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls."",""With its long fangs, this surprisingly violent Pokémon can gnaw away even thick concrete with ease."",""Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."",""Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face, as it could bite your hand clean off."",""People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola."",""Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.""]",7,Mouse Pokémon,20,Generation I
21,spearow,3,20,52,70,"[""flying""]",rough-terrain,,medium,false,false,wings,"[{""name"":""hp"",""baseStat"":40},{""name"":""attack"",""baseStat"":60},{""name"":""defense"",""baseStat"":30},{""name"":""special-attack"",""baseStat"":31},{""name"":""special-defense"",""baseStat"":31},{""name"":""speed"",""baseStat"":70}]","[{""name"":""normal""},{""name"":""flying""}]","[{""name"":""keen-eye"",""isHidden"":false},{""name"":""sniper"",""isHidden"":true}]","[""It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."",""Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne."",""Inept at flying high. However, it can fly around very fast to protect its ter­ ritory."",""It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak."",""Very protective of its territory, it flaps its short wings busily to dart around at high speed."",""To protect its territory, it flies around ceaselessly, making high- pitched cries."",""SPEAROW has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."",""It busily flits around here and there. Even if it is frail, it can be a tough foe that uses MIRROR MOVE."",""Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass."",""Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it."",""Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory."",""Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon.""]",8,Tiny Bird Pokémon,21,Generation I
